Autonomous_community,Population_community,Beer_consumption
Andalucía,8464411,33.91
Aragón,1329391,29.43
Asturias,1018784,21.3
Islas Baleares,1171543,39.42
Canarias,2175952,25.44
Cantabria,582905,25.76
Castilla y León,2394918,29.04
Castilla-La Mancha,2045221,30.23
Cataluña,7780479,33.1
Comunidad Valenciana,5057353,29.75
Extremadura,1063987,29.94
Galicia,2701819,26.39
Comunidad de Madrid,6779888,37.1
Región de Murcia,1511251,34.46
Navarra,661197,38.78
País Vasco,2220504,36.07
La Rioja,319914,26.53
Ceuta,84202,
Melilla,87076,
